interval,traded_volume,purchased_volume,sold_volume,weighted_average_price,min_price,max_price,last_price,fallback_message,last_updated,fetch_time
12:45-13:00,298.525,185.15,183.75,80.37,39.94,190,45.01,No new data available after interval 12:45-13:00. Showing last known data from 12:45-13:00.,2025-01-27 13:00:07,2025-01-27 17:06:46
13:15-13:30,205.35,87.8,148.33,88.47,45.01,197.9,81.1,,2025-01-27 13:15:05,2025-01-27 17:21:46
13:30-13:45,234.875,83.98,182.6,97.06,60,155.9,129.9,,2025-01-27 13:30:05,2025-01-27 17:36:46
13:45-14:00,258.375,101.7,203.3,97.42,60,153.97,92,,2025-01-27 13:45:03,2025-01-27 17:51:46
23:30-23:45,177.8,68.55,112,74.77,43,111.47,43,,2025-01-27 23:41:23,2025-01-28 04:06:17
20:00-20:15,393.175,233.08,183.55,127.82,80.01,177.76,119.98,,2025-01-28 20:10:40,2025-01-29 00:14:28
20:15-20:30,398.975,228.05,197.13,126.64,80,165.83,158.99,,2025-01-28 20:15:03,2025-01-29 00:29:28
20:30-20:45,404.45,224.83,211.43,119.05,50,148.99,148.99,,2025-01-28 20:30:03,2025-01-29 00:44:28
20:45-21:00,419.075,230,227.93,116.2,54.79,142.2,118,,2025-01-28 20:45:03,2025-01-29 00:59:28
21:00-21:15,411.85,235.15,196.18,113.5,25,199,186,,2025-01-28 21:00:09,2025-01-29 01:14:28
21:15-21:30,429.275,240.83,206.1,111.4,25,186,130.01,,2025-01-28 21:15:03,2025-01-29 01:35:02
21:45-22:00,452.675,259.48,236.08,98.61,25,186,89,,2025-01-28 21:45:02,2025-01-29 01:50:02
22:00-22:15,270.425,147.7,163.83,118.48,80.03,173,128.97,,2025-01-28 22:00:08,2025-01-29 02:05:02
21:45-22:00,89,58.5,68.38,84.55,42,136.04,98.96,,2025-01-29 21:45:18,2025-01-30 01:54:47
00:45-01:00,178.875,59.03,125.95,105.4,80.21,116,116,,2025-01-30 00:46:20,2025-01-30 04:56:01
03:30-03:45,118.075,11.6,111.23,103.27,92.53,150,150,,2025-01-30 03:37:36,2025-01-30 07:57:17
16:30-16:45,123.5,100,117.8,139.76,45,227,80,,2025-02-10 16:38:50,2025-02-10 20:39:09
